model_name,strategy,threshold,net_benefit
random_forest,model,0.05,0.2868039664378337
random_forest,treat_all,0.05,0.2868039664378337
random_forest,treat_none,0.05,0.0
random_forest,model,0.1,0.2471819645732689
random_forest,treat_all,0.1,0.2471819645732689
random_forest,treat_none,0.1,0.0
random_forest,model,0.15,0.20289855072463767
random_forest,treat_all,0.15,0.20289855072463767
random_forest,treat_none,0.15,0.0
random_forest,model,0.2,0.15307971014492752
random_forest,treat_all,0.2,0.15307971014492752
random_forest,treat_none,0.2,0.0
random_forest,model,0.25,0.09661835748792269
random_forest,treat_all,0.25,0.09661835748792269
random_forest,treat_none,0.25,0.0
random_forest,model,0.3,0.03209109730848858
random_forest,treat_all,0.3,0.03209109730848858
random_forest,treat_none,0.3,0.0
random_forest,model,0.35,-0.030657748049052413
random_forest,treat_all,0.35,-0.0423634336677815
random_forest,treat_none,0.35,0.0
random_forest,model,0.4,-0.1111111111111111
random_forest,treat_all,0.4,-0.1292270531400967
random_forest,treat_none,0.4,0.0
random_forest,model,0.45,-0.17160737812911728
random_forest,treat_all,0.45,-0.23188405797101452
random_forest,treat_none,0.45,0.0
random_forest,model,0.5,-0.12681159420289853
random_forest,treat_all,0.5,-0.35507246376811596
random_forest,treat_none,0.5,0.0
