model_name,outer_fold,inner_best_auc,best_params
elastic_net_logistic,1,0.5177929360149857,"{""model__C"": 0.1, ""model__l1_ratio"": 0.8}"
elastic_net_logistic,2,0.57359410430839,"{""model__C"": 1.0, ""model__l1_ratio"": 0.2}"
elastic_net_logistic,3,0.5450603864734299,"{""model__C"": 0.1, ""model__l1_ratio"": 0.2}"
elastic_net_logistic,4,0.5843719806763286,"{""model__C"": 0.1, ""model__l1_ratio"": 0.8}"
elastic_net_logistic,5,0.5832789855072464,"{""model__C"": 0.1, ""model__l1_ratio"": 0.8}"
elastic_net_logistic,full_data_refit,0.5623323013415893,"{""model__C"": 1.0, ""model__l1_ratio"": 0.2}"
random_forest,1,0.47404860494922607,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
random_forest,2,0.5288945578231292,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 5}"
random_forest,3,0.6046256038647343,"{""model__max_depth"": null, ""model__min_samples_leaf"": 10}"
random_forest,4,0.5385024154589373,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 5}"
random_forest,5,0.5712077294685991,"{""model__max_depth"": 3, ""model__min_samples_leaf"": 10}"
random_forest,full_data_refit,0.5328712613542336,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
gradient_boosting,1,0.4985218870156758,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 100, ""model__subsample"": 0.8}"
gradient_boosting,2,0.5255952380952381,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200, ""model__subsample"": 0.8}"
gradient_boosting,3,0.5700966183574879,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200, ""model__subsample"": 0.8}"
gradient_boosting,4,0.5061594202898552,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 100, ""model__subsample"": 0.8}"
gradient_boosting,5,0.571280193236715,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 100, ""model__subsample"": 0.8}"
gradient_boosting,full_data_refit,0.5272627116280366,"{""model__learning_rate"": 0.05, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 100, ""model__subsample"": 0.8}"
