feature,importance_mean_auc_drop,importance_std
imc,0.02371968194836662,0.005401949589538645
edad_hoy,0.01854633579683146,0.0054359637203016875
estado_civil,0.016679685152917102,0.00273198205187906
data-factor_riesgo-sintomas,0.013527208636263463,0.0029684716288795737
peso,0.013012477718360024,0.004142741888571675
talla,0.012698031204310093,0.0021356554290493626
pared,0.012177291754291037,0.004655309281839279
escolaridad,0.010631096156542246,0.0018957487505409172
data-barreras_economicas-perdida_horas_laborales,0.00778906046586149,0.002152669779510628
ant_cancer,0.007346431933345321,0.0014928055320936084
ocupacion,0.007210238538724937,0.0018804561780641719
salero_mesa,0.0068236896392877555,0.002489577033307229
almacena_agua,0.006715536061206877,0.0009426163700790197
aguas_servida,0.006691501932744452,0.0014909139274350528
agua_antest,0.0065432914738928726,0.0011753145490456442
estrato,0.005621983216166918,0.0018662390699642282
acude_odontologo,0.005395661839812497,0.0008755979682483647
ant_can_gastrico,0.005253459913076527,0.0010324287056997783
cocina_con_carbon,0.005013118628452355,0.002024479073695159
cepilla_dia,0.004906967894410012,0.0011305340540678855
data-factor_riesgo-dx_gastritis,0.004576498628051799,0.0012387958721299757
huert_caser,0.004368202848044175,0.0013069673831745548
piso,0.0038795089026417004,0.0017973904487006533
data-perfil_clinico-toma_acidez,0.0034388832141640903,0.0013970048937422426
data-higene-lava_manos_despues,0.002924152296260633,0.0009243944349565719
data-intradomiciliario-cuenta_tanque,0.0027779446814476193,0.001385761117958903
sexo,0.0027438963327925244,0.0005103913133278659
techo,0.0023132848645075624,0.0010812853963208888
data-perfil_clinico-toma_antibioticos,0.001946764405455718,0.0005943285714776565
data-higene-lava_manos_antes,0.0018986961485308984,0.001086487049809178
data-higene-lava_manos_utiliza,0.0018586392677601834,0.0009529329038941332
data-intradomiciliario-tiempo_lava,0.0016964089006388683,0.0013010179500804015
data-perfil_clinico-toma_acidez_cuales,0.0016863946804461794,0.0008853748715489472
vict_conflicto,0.0015421899096717021,0.0010415559296524657
frut_verd,0.0013519197260109046,0.0009198812146549637
ant_tabaco,0.0012217348635061446,0.000622945673103373
add_sal,0.0010635101844618984,0.000262433717465601
prot,0.0009092911934947175,0.0005107213026660723
per_dormitorios,0.0008852570650322966,0.001135907483014355
reg_victima,0.0007630835786816855,0.0005141070864779601
ingreso,0.0004906967894409808,0.0004651818171125564
act_fisica,0.0004906967894409697,0.00028944388041323766
tiempo_exfumador,0.00038454605539861575,0.00037058568635726013
exfumador,0.00038254321136010536,0.0003325505257653763
bebe_mucho_licor,0.00036451761501328966,0.0003373826303630436
inodoro_conectado,0.00017825311942954263,0.00014259630684632953
pres_ar_pr_diastolica,0.000168238899236887,0.00017510859816455076
sr_acueducto,0.00012017064231205262,0.0003016259183563276
data-barreras_economicas-economia_transporte,4.205972480922175e-05,0.00031686106767854624
sr_energia,0.0,0.0
inodoro,0.0,0.0
cocina_con_ga_pe,0.0,0.0
etnia,0.0,0.0
pob_migrante,0.0,0.0
fuma,-2.002844038528906e-06,4.777528266886445e-05
regimen_salud_pertenece,-3.6051192693620226e-05,0.00013666383952597947
intercam_cepillo,-9.813935788824576e-05,0.0002764287583430441
