encoded_feature,mean_abs_shap,source_feature
numeric__imc,0.022751805971145424,imc
numeric__peso,0.019524703000641935,peso
numeric__edad_hoy,0.018231655685415377,edad
categorical__pared_Ladrillo,0.010944363615701835,pared
numeric__talla,0.0083712561078201,talla
categorical__salero_mesa_Si,0.008095610271927324,salero
categorical__estado_civil_Casado(a),0.0076130792137271315,estado
categorical__data-factor_riesgo-sintomas_Ninguno,0.007477587692620663,data-factor
categorical__piso_Cerámica,0.007184464585354738,piso
categorical__salero_mesa_No,0.006612896137517006,salero
categorical__data-factor_riesgo-sintomas_infrequent_sklearn,0.005665574087752585,data-factor
categorical__estado_civil_Unión libre,0.005459665623852488,estado
categorical__aguas_servida_Campo abierto,0.0047806954654572185,aguas
categorical__pared_infrequent_sklearn,0.004323501173279642,pared
categorical__cocina_con_carbon_No,0.004180237786116208,cocina
categorical__huert_caser_Si,0.004004954074552296,huert
categorical__ant_cancer_Si,0.003769427781452483,ant
categorical__escolaridad_Primaria completa,0.0037585863923999454,escolaridad
categorical__cocina_con_carbon_Si,0.003757991559270111,cocina
categorical__ant_cancer_No,0.0036509124461256747,ant
categorical__data-intradomiciliario-cuenta_tanque___MISSING__,0.0036328257602231758,data-intradomiciliario-cuenta
categorical__escolaridad_Primaria incompleta,0.00362643638376593,escolaridad
categorical__data-intradomiciliario-tiempo_lava___MISSING__,0.0036087550399009818,data-intradomiciliario-tiempo
categorical__data-perfil_clinico-toma_acidez_Si,0.0035066578221444305,data-perfil
categorical__ocupacion_Desempleado,0.003492790637458405,ocupacion
categorical__techo_Eternit,0.0034452344112276155,techo
categorical__cepilla_dia_Más de 2 veces,0.0032266893174733077,cepilla
categorical__data-barreras_economicas-perdida_horas_laborales_No,0.003141507556080677,data-barreras
categorical__estado_civil_Soltero(a),0.003029893957528055,estado
categorical__cepilla_dia_2 vez al día,0.0030189579767629154,cepilla
categorical__ant_can_gastrico_Si,0.0029340906379905236,ant
categorical__estrato_Sin estratificación,0.002863451300046267,estrato
categorical__frut_verd_1-2 veces al día,0.002803781657903394,frut
categorical__acude_odontologo_No visita al odontólogo,0.0027562495732120257,acude
categorical__estado_civil_Separado(a),0.0027161221648268085,estado
categorical__acude_odontologo_Por control,0.0027001776538142187,acude
categorical__huert_caser_No,0.002611630791163837,huert
categorical__data-perfil_clinico-toma_acidez_cuales___MISSING__,0.0025405879109268747,data-perfil
categorical__per_dormitorios_Más de 3,0.0025004696008456974,per
categorical__data-perfil_clinico-toma_acidez_No,0.002258226993057179,data-perfil
categorical__escolaridad_Secundaria Completa,0.002146160904349802,escolaridad
categorical__per_dormitorios_Entre 1 y 3,0.002116222933904449,per
categorical__estrato_1,0.0020715716399421,estrato
categorical__ant_can_gastrico_No,0.002045463466580821,ant
categorical__data-barreras_economicas-perdida_horas_laborales_Si,0.0020200639323549783,data-barreras
categorical__data-higene-lava_manos_despues_Siempre,0.0020173845568941928,data-higene-lava
categorical__data-higene-lava_manos_antes_Siempre,0.002006498227608532,data-higene-lava
categorical__data-higene-lava_manos_antes___MISSING__,0.001960991630212476,data-higene-lava
categorical__ocupacion_Trabajador informal,0.0019507326367568737,ocupacion
categorical__almacena_agua_Recipiente o tanque con tapa,0.0019434223068105147,almacena
categorical__ant_can_gastrico___MISSING__,0.001915634325058194,ant
categorical__aguas_servida_Alcantarillado,0.0018084559573356223,aguas
categorical__data-factor_riesgo-dx_gastritis_Si,0.0017911397774873583,data-factor
categorical__ocupacion_Ama de casa,0.0016897410516730524,ocupacion
categorical__agua_antest_Ninguna,0.001680645535407327,agua
categorical__data-higene-lava_manos_utiliza___MISSING__,0.0016126308979234063,data-higene-lava
categorical__data-higene-lava_manos_utiliza_Agua y jabón,0.001573049528922653,data-higene-lava
categorical__agua_antest_La hierven previamente,0.0015480628887984272,agua
categorical__data-intradomiciliario-tiempo_lava_Menos de 1 mes,0.0015187549504538831,data-intradomiciliario-tiempo
categorical__piso_Pisos primarios (Cemento),0.0014251303211464774,piso
categorical__agua_antest_La consumen sin tratamiento,0.0014157486366947432,agua
categorical__data-factor_riesgo-dx_gastritis_No,0.0013712892800233315,data-factor
categorical__aguas_servida_Pozo Séptico,0.001362861303336038,aguas
categorical__vict_conflicto_No,0.0013061953549776872,vict
categorical__data-higene-lava_manos_despues___MISSING__,0.001291736195008511,data-higene-lava
categorical__exfumador_Si,0.0012576165645470057,exfumador
categorical__piso_Baldosa,0.0012508503134801576,piso
categorical__pared_Bareque,0.0012459801360721545,pared
categorical__vict_conflicto_Si,0.0012450745934730425,vict
categorical__sexo_FEMENINO,0.0012188583352596412,sexo
categorical__tiempo_exfumador___MISSING__,0.001142467697921425,tiempo
categorical__data-perfil_clinico-toma_acidez_cuales_Omeprazol,0.0011367639223210332,data-perfil
categorical__tiempo_exfumador_Más de 12 meses.,0.00113371501872376,tiempo
categorical__escolaridad_Ninguno,0.0011175536242321244,escolaridad
categorical__reg_victima___MISSING__,0.0010523267748864462,reg
categorical__piso_Tierra,0.0010223804516944805,piso
categorical__sexo_MASCULINO,0.0010159229467967355,sexo
categorical__data-intradomiciliario-cuenta_tanque_infrequent_sklearn,0.0009667938080285105,data-intradomiciliario-cuenta
categorical__act_fisica_Si,0.0008959105110549767,act
categorical__frut_verd_Algunos días a la semana,0.0008904750462485454,frut
"categorical__data-factor_riesgo-sintomas_Dolor_ardor_estomago, Diarrea",0.0008875714368799366,data-factor
categorical__data-intradomiciliario-cuenta_tanque_No_no_tanque_abierto,0.0008824463982504416,data-intradomiciliario-cuenta
categorical__prot_1-2 veces al día,0.0008815642716267611,prot
categorical__almacena_agua_No almacena,0.0008273329590402423,almacena
categorical__exfumador_No,0.0008258882493251614,exfumador
categorical__data-factor_riesgo-sintomas_Dolor_ardor_estomago,0.0008172102933012343,data-factor
categorical__data-intradomiciliario-cuenta_tanque_No_consumo_directo_del_grifo,0.0008139202101913436,data-intradomiciliario-cuenta
categorical__techo_Zinc,0.0007426165112102269,techo
categorical__ant_tabaco_No,0.0007389693669833834,ant
categorical__acude_odontologo_Por prevención,0.0007272996302187668,acude
categorical__bebe_mucho_licor_No,0.0006820188405416787,bebe
categorical__intercam_cepillo_Si,0.0006461169422998278,intercam
categorical__almacena_agua_Recipiente o tanque sin tapa,0.0006439550668878663,almacena
categorical__ant_tabaco_infrequent_sklearn,0.0006310380919995468,ant
categorical__data-perfil_clinico-toma_antibioticos_Si,0.0006096584346776143,data-perfil
categorical__frut_verd_No consume,0.0005950564318649817,frut
categorical__ingreso_Menos de 1 SMLMV,0.0005906551712712116,ingreso
categorical__estado_civil_Viudo(a),0.0005697477466906251,estado
categorical__ingreso_infrequent_sklearn,0.0005686763022363977,ingreso
categorical__data-perfil_clinico-toma_antibioticos_No,0.0005404568266111843,data-perfil
categorical__act_fisica_No,0.0005157660109850076,act
categorical__prot_No consume,0.0005054944208020785,prot
categorical__agua_antest_La filtran,0.0004687741928057894,agua
categorical__add_sal_No,0.0004539364285183901,add
categorical__prot_Algunos días a la semana,0.0004477083284563889,prot
categorical__ocupacion_infrequent_sklearn,0.00044283163298233915,ocupacion
categorical__data-barreras_economicas-economia_transporte_No,0.00041151319059355354,data-barreras
categorical__data-intradomiciliario-tiempo_lava_Nunca,0.00041145000326760694,data-intradomiciliario-tiempo
categorical__acude_odontologo_Por tratamiento,0.00038099103621508243,acude
categorical__cepilla_dia_1 vez al día,0.0003666670939749018,cepilla
categorical__escolaridad_infrequent_sklearn,0.0003528130308866716,escolaridad
categorical__reg_victima_Si,0.00033043351468340574,reg
categorical__data-barreras_economicas-economia_transporte_infrequent_sklearn,0.0003288207082681823,data-barreras
categorical__frut_verd_infrequent_sklearn,0.0003226968822837012,frut
categorical__bebe_mucho_licor_infrequent_sklearn,0.00031185574164361055,bebe
categorical__techo_Teja de barro,0.00030920247105815696,techo
categorical__sr_acueducto_infrequent_sklearn,0.0002882312944314742,sr
categorical__escolaridad_Secundaria incompleta,0.00026966908191587946,escolaridad
categorical__inodoro_conectado_Inodoro conectado a pozo séptico,0.00024264474981694026,inodoro
categorical__sr_acueducto_Veredal,0.00024193317848424589,sr
categorical__add_sal_Si,0.00024062080694053193,add
numeric__pres_ar_pr_diastolica,0.00022335789138775355,pres
categorical__ocupacion_Trabajador formal,0.00022167139374750799,ocupacion
categorical__pared_Guadua,0.00021596201141477845,pared
categorical__inodoro_conectado_infrequent_sklearn,0.00020554522047713843,inodoro
categorical__regimen_salud_pertenece_Subsidiado,0.0001999101131805057,regimen
categorical__reg_victima_infrequent_sklearn,0.0001923197542752512,reg
categorical__data-perfil_clinico-toma_acidez_cuales_infrequent_sklearn,0.00014686783326753406,data-perfil
categorical__acude_odontologo_Por molestias,0.00014291542572987065,acude
categorical__techo_infrequent_sklearn,0.00013157191593704973,techo
"categorical__data-factor_riesgo-sintomas_Dolor_ardor_estomago, Nauseas",0.00013071473502674355,data-factor
categorical__fuma_No,6.037219572469495e-05,fuma
categorical__prot_infrequent_sklearn,4.7808569551157356e-05,prot
categorical__inodoro_infrequent_sklearn,0.0,inodoro
categorical__inodoro_Si,0.0,inodoro
categorical__data-perfil_clinico-toma_acidez_infrequent_sklearn,0.0,data-perfil
categorical__data-factor_riesgo-dx_gastritis_infrequent_sklearn,0.0,data-factor
categorical__data-intradomiciliario-tiempo_lava_infrequent_sklearn,0.0,data-intradomiciliario-tiempo
categorical__data-higene-lava_manos_despues_infrequent_sklearn,0.0,data-higene-lava
categorical__data-higene-lava_manos_antes_infrequent_sklearn,0.0,data-higene-lava
categorical__data-higene-lava_manos_utiliza_infrequent_sklearn,0.0,data-higene-lava
categorical__regimen_salud_pertenece_infrequent_sklearn,0.0,regimen
categorical__data-perfil_clinico-toma_antibioticos_infrequent_sklearn,0.0,data-perfil
categorical__etnia_Mestizo,0.0,etnia
categorical__etnia_infrequent_sklearn,0.0,etnia
categorical__pob_migrante_No,0.0,pob
categorical__pob_migrante_infrequent_sklearn,0.0,pob
categorical__cocina_con_ga_pe_infrequent_sklearn,0.0,cocina
categorical__cocina_con_ga_pe_No,0.0,cocina
categorical__fuma_infrequent_sklearn,0.0,fuma
categorical__act_fisica_infrequent_sklearn,0.0,act
