variable_canonical,source_variable,raw_column,mandatory_dictionary_column_r,model_eligible,completeness,dtype_observed,reason
data_datos_ubicacion_riesgo_class,data_datos_ubicacion_riesgo_class.x,data-datos_ubicacion-riesgo_class,True,False,1.0,str,excluded_by_pre_prediction_policy
data_muestra_resultado,data_muestra_resultado,,True,False,,,mandatory_not_present_in_v2_source
data_barreras_economicas_economia_transporte,data_barreras_economicas_economia_transporte,data-barreras_economicas-economia_transporte,True,True,0.9963768115942029,str,mandatory_pre_prediction_authorized
data_barreras_economicas_perdida_horas_laborales,data_barreras_economicas_perdida_horas_laborales,data-barreras_economicas-perdida_horas_laborales,True,True,0.9963768115942029,str,mandatory_pre_prediction_authorized
data_perfil_clinico_toma_antibioticos,data_perfil_clinico_toma_antibioticos,data-perfil_clinico-toma_antibioticos,True,True,0.9963768115942029,str,mandatory_pre_prediction_authorized
data_perfil_clinico_toma_acidez,data_perfil_clinico_toma_acidez,data-perfil_clinico-toma_acidez,True,True,0.9963768115942029,str,mandatory_pre_prediction_authorized
data_perfil_clinico_toma_acidez_cuales,data_perfil_clinico_toma_acidez_cuales,data-perfil_clinico-toma_acidez_cuales,True,True,0.2210144927536232,str,mandatory_pre_prediction_authorized
data_factor_riesgo_sintomas,data_factor_riesgo_sintomas,data-factor_riesgo-sintomas,True,True,0.9963768115942029,str,mandatory_pre_prediction_authorized
data_factor_riesgo_dx_gastritis,data_factor_riesgo_dx_gastritis,data-factor_riesgo-dx_gastritis,True,True,0.9963768115942029,str,mandatory_pre_prediction_authorized
data_intradomiciliario_cuenta_tanque,data_intradomiciliario_cuenta_tanque,data-intradomiciliario-cuenta_tanque,True,True,0.4057971014492754,str,mandatory_pre_prediction_authorized
data_intradomiciliario_tiempo_lava,data_intradomiciliario_tiempo_lava,data-intradomiciliario-tiempo_lava,True,True,0.25,str,mandatory_pre_prediction_authorized
data_higene_lava_manos_despues,data_higene_lava_manos_despues,data-higene-lava_manos_despues,True,True,0.4057971014492754,str,mandatory_pre_prediction_authorized
data_higene_lava_manos_antes,data_higene_lava_manos_antes,data-higene-lava_manos_antes,True,True,0.4057971014492754,str,mandatory_pre_prediction_authorized
data_higene_lava_manos_utiliza,data_higene_lava_manos_utiliza,data-higene-lava_manos_utiliza,True,True,0.4057971014492754,str,mandatory_pre_prediction_authorized
clas_riesgo_cancer,clas_riesgo_cancer,clas_riesgo_cancer,True,False,1.0,float64,excluded_by_pre_prediction_policy
fecha_nacimiento,fecha_nacimiento,fecha_nacimiento,True,False,1.0,int64,excluded_by_pre_prediction_policy
